body,make,model,year,engine,transmission,fuel,price
Sedan,Toyota,Corolla,2013.0,1300.0,Manual,Petrol,2870000.0
Sedan,Honda,City,2000.0,1300.0,Manual,Petrol,995000.0
Sedan,Toyota,Yaris,2021.0,1300.0,Manual,Petrol,3585000.0
Hatchback,Suzuki,Swift,2017.0,1300.0,Manual,Petrol,2250000.0
Sedan,Honda,Civic,2017.0,1800.0,Automatic,Petrol,4850000.0
Sedan,Honda,Civic,2010.0,1300.0,Automatic,Petrol,2850000.0
Hatchback,Suzuki,Swift,2019.0,1300.0,Manual,Petrol,2675000.0
Sedan,Honda,City,2018.0,1300.0,Automatic,Petrol,3450000.0
Hatchback,Daihatsu,Move,2019.0,660.0,Automatic,Petrol,3850000.0
Sedan,Honda,City,2014.0,1300.0,Manual,Petrol,2585000.0
Hatchback,Daihatsu,Move,2019.0,660.0,Automatic,Petrol,3650000.0
Hatchback,Suzuki,Mehran,2019.0,796.0,Manual,Petrol,1365000.0
Sedan,Toyota,Yaris,2020.0,1300.0,Automatic,Petrol,4300000.0
Hatchback,Daihatsu,Move,2019.0,660.0,Automatic,Petrol,3850000.0
Hatchback,Daihatsu,Move,2019.0,660.0,Automatic,Petrol,3550000.0
Sedan,Honda,City,2010.0,1300.0,Automatic,Petrol,2130000.0
Hatchback,Daihatsu,Mira,2006.0,660.0,Automatic,Petrol,1520000.0
SUV,Mitsubishi,Pajero,1996.0,2400.0,Automatic,Petrol,2500000.0
Hatchback,Suzuki,Cultus,2019.0,1000.0,Manual,Petrol,2950000.0
Hatchback,Daihatsu,Move,2019.0,660.0,Automatic,Petrol,3550000.0
Hatchback,Toyota,Vitz,2014.0,1000.0,Automatic,Petrol,3150000.0
Hatchback,Suzuki,Alto,2022.0,660.0,Manual,Petrol,2200000.0
Hatchback,Suzuki,Cultus,2017.0,1000.0,Manual,Petrol,2505000.0
SUV,Toyota,Land,2022.0,3500.0,Automatic,Petrol,89800000.0
Sedan,Toyota,Corolla,2021.0,1798.0,Automatic,Petrol,6850000.0
MPV,Honda,BR-V,2020.0,1500.0,Automatic,Petrol,5175000.0
Hatchback,Toyota,Vitz,2020.0,1500.0,Automatic,Hybrid,6250000.0
SUV,Hyundai,Tucson,2022.0,2000.0,Automatic,Petrol,8780000.0
Hatchback,Suzuki,Alto,2020.0,660.0,Automatic,Petrol,3400000.0
Sedan,Honda,Civic,1999.0,1500.0,Automatic,Petrol,1190000.0
Hatchback,Toyota,Passo,2019.0,1000.0,Automatic,Petrol,4290000.0
Sedan,Honda,Civic,2018.0,1800.0,Automatic,Petrol,5200000.0
Crossover,Toyota,C-HR,2018.0,1800.0,Automatic,Hybrid,8400000.0
Hatchback,Suzuki,Hustler,2015.0,660.0,Automatic,Petrol,2500000.0
Hatchback,Toyota,Vitz,2019.0,996.0,Automatic,Petrol,4990000.0
